zip_code,vulnerability_index,vulnerability_theme1_socioeconomic,vulnerability_theme2_household,vulnerability_theme3_minority,vulnerability_theme4_housing,healthcare_access_score,telehealth_access_score
10301,0.009328999999999999,0.008784,0.007487000000000001,0.008992,0.009869,0.948,0.862
10302,0.009163,0.009427,0.007845999999999999,0.009301,0.007692,0.913,0.893
10303,0.009375,0.009209,0.008484,0.009555000000000001,0.008905999999999999,0.947,0.849
10304,0.009467,0.008933,0.008501,0.009065,0.009846,0.945,0.832
10305,0.008928,0.007850000000000001,0.00792,0.008389,0.008883,0.958,0.887
10306,0.008739,0.007769000000000001,0.008011,0.007994,0.008319,0.957,0.892
10307,0.003624,0.00215,0.004308,0.005285,0.004718,0.975,0.899
10308,0.0038529999999999997,0.0031190000000000002,0.003225,0.006423,0.004536,0.972,0.905
10309,0.005642,0.004581,0.006148,0.005808,0.005104999999999999,0.984,0.927
10310,0.008928,0.007569,0.007972,0.008975,0.008991,0.955,0.853
10311,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10312,0.005333,0.003475,0.006553,0.006845,0.005235999999999999,0.977,0.889
10314,0.007861,0.006216,0.006439,0.00822,0.008131000000000001,0.966,0.901
10451,0.009897,0.009897,0.009858,0.009825,0.009117,0.9339999999999999,0.811
10452,0.009931,0.009937,0.009760999999999999,0.009892999999999999,0.009464,0.931,0.7969999999999999
10453,0.009982999999999999,0.009989,0.009732,0.009932,0.00996,0.903,0.852
10454,0.01,0.01,0.009915,0.009887,0.009949,0.898,0.736
10455,0.009971,0.009971,0.009909,0.009972,0.009499,0.905,0.803
10456,0.009994,0.00996,0.009903,0.00991,0.009972,0.927,0.787
10457,0.009989,0.009977,0.009800999999999999,0.009961,0.009989,0.903,0.813
10458,0.009891,0.009982999999999999,0.009179,0.009775,0.00963,0.903,0.914
10459,0.009943,0.009925,0.009846,0.009949,0.009333000000000001,0.929,0.838
10460,0.009954,0.009931,0.009875,0.009848,0.009345,0.935,0.8200000000000001
10461,0.009689999999999999,0.009513,0.009037,0.009318,0.009755,0.945,0.863
10462,0.009708,0.009622,0.009236,0.009707,0.009293000000000001,0.9359999999999999,0.878
10463,0.009862,0.009352000000000001,0.009926,0.009324,0.009903,0.958,0.886
10464,0.007219,0.0059689999999999995,0.009651999999999999,0.0077859999999999995,0.003903,0.938,0.882
10465,0.009444000000000001,0.008171000000000001,0.009744000000000001,0.009127,0.009328,0.967,0.895
10466,0.009851,0.009834,0.009556,0.009899,0.009521,0.91,0.837
10467,0.009925,0.009914,0.009464,0.009752,0.009858,0.911,0.837
10468,0.009874,0.009954,0.009407,0.00987,0.00947,0.908,0.877
10469,0.009507,0.009255,0.009259,0.009746,0.008723999999999999,0.952,0.866
10470,0.009398,0.00863,0.008103,0.009042,0.009915,0.9390000000000001,0.867
10471,0.008308,0.005326999999999999,0.007715,0.008631,0.009009,0.964,0.903
10472,0.009937,0.009966000000000001,0.009419,0.009921,0.009835,0.877,0.774
10473,0.009868,0.009725000000000001,0.00992,0.009961,0.009094,0.946,0.832
10474,0.00996,0.009943,0.009823,0.009915,0.009704,0.914,0.801
10475,0.009799,0.009054,0.009778,0.009837,0.00988,0.953,0.787
10501,0.0005909999999999999,0.001611,0.000986,0.003138,0.000615,0.996,1.0
10502,0.0037790000000000002,0.001411,0.005231,0.007639,0.004883,0.992,0.9359999999999999
10503,0.000333,0.0,0.001527,0.0,0.0015040000000000001,1.0,1.0
10504,0.001915,0.000356,0.003202,0.006665,0.004376,0.993,0.952
10505,0.004272000000000001,0.001812,0.0059370000000000004,0.0073750000000000005,0.004974,0.977,0.812
10506,0.001181,0.000378,0.0020169999999999997,0.005662,0.002433,0.996,0.997
10507,0.008744,0.008114,0.008159999999999999,0.008732,0.007687,0.959,0.946
10509,0.006657,0.005063,0.005977,0.00787,0.006404999999999999,0.951,0.955
10510,0.005143,0.001325,0.004769,0.006918,0.008313000000000001,0.99,0.919
10511,0.003733,0.001049,0.005248,0.007808000000000001,0.005476,0.983,0.91
10512,0.004639,0.003096,0.004513,0.0069630000000000004,0.005094,0.983,0.913
10514,0.001766,0.00044699999999999997,0.005288,0.006907,0.002353,0.992,0.983
10516,0.004828,0.0025340000000000002,0.005687,0.005234,0.006103,0.962,0.95
10517,0.005516,0.006886,0.004194,0.007904,0.003208,0.981,1.0
10518,0.001313,0.004398,0.001271,0.006,0.0006270000000000001,0.961,0.92
10519,0.000401,0.0,0.00249,0.009989,0.0,1.0,1.0
10520,0.006686,0.004077,0.006895,0.006777,0.007419,0.977,0.935
10522,0.007248,0.004541,0.007533,0.007679,0.0074990000000000005,0.964,0.974
10523,0.007081,0.005894,0.006604,0.009307,0.005954,0.938,0.937
10524,0.003005,0.0019500000000000001,0.003265,0.005662,0.004217,0.987,0.954
10526,0.000958,0.000419,0.00135,0.005775,0.001892,0.979,1.0
10527,0.001078,0.000545,0.003413,0.006647999999999999,0.001071,1.0,0.941
10528,0.004077,0.001692,0.0054069999999999995,0.00729,0.005013999999999999,0.965,0.97
10530,0.005975,0.0032,0.005235999999999999,0.007769000000000001,0.007214000000000001,0.981,0.938
10532,0.005274999999999999,0.003584,0.005259000000000001,0.005268,0.0062050000000000004,0.992,0.91
10533,0.0018859999999999999,0.00055,0.005071,0.007037,0.002484,0.988,0.977
10535,0.000969,0.002276,0.0016300000000000002,0.007865,0.0,0.972,1.0
10536,0.0028499999999999997,0.000963,0.003897,0.006276,0.004917,0.98,0.975
10537,0.004106,0.005602,0.0027289999999999997,0.007808000000000001,0.002832,0.9259999999999999,1.0
10538,0.004203,0.001818,0.004832,0.006603,0.005607,0.97,0.96
10540,-9.99,-9.99,-9.99,0.00871,-9.99,0.5449999999999999,10.99
10541,0.0040999999999999995,0.002087,0.004587,0.006541,0.0050880000000000005,0.97,0.958
10542,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10543,0.007632,0.005647999999999999,0.0070030000000000005,0.008023,0.007744,0.938,0.956
10545,-9.99,-9.99,-9.99,0.007848,-9.99,1.0,10.99
10546,0.000545,0.000327,0.001197,0.007623,0.000667,0.992,1.0
10547,0.00586,0.002626,0.006632,0.008389,0.006644,0.977,0.933
10548,0.008142,0.007483,0.005687,0.007234000000000001,0.008159999999999999,0.962,0.9259999999999999
10549,0.006795,0.005699999999999999,0.004462,0.007977,0.006923,0.952,0.9359999999999999
10550,0.009811,0.009748,0.009504,0.009769,0.009419,0.919,0.73
10552,0.008612,0.006514,0.007026,0.009217,0.009402,0.96,0.86
10553,0.008916,0.00793,0.006319,0.009713000000000001,0.009231,0.9259999999999999,0.779
10560,0.0025629999999999997,0.001376,0.003801,0.005459,0.003948999999999999,0.988,0.9299999999999999
10562,0.008693,0.0071330000000000005,0.008017,0.008856000000000001,0.008581,0.92,0.935
10566,0.00883,0.008515,0.005704,0.009132,0.00861,0.945,0.894
10567,0.0048389999999999996,0.0037790000000000002,0.0053159999999999995,0.007825,0.004171,0.947,0.953
10570,0.004375,0.0017549999999999998,0.004707,0.006710000000000001,0.0063360000000000005,0.979,0.973
10573,0.008847,0.008819,0.006952000000000001,0.00907,0.0077659999999999995,0.916,0.943
10576,0.000843,0.000522,0.00192,0.005431,0.00098,0.976,0.984
10577,0.0012790000000000002,0.002477,0.0008550000000000001,0.0077859999999999995,0.0014130000000000002,0.96,0.966
10578,0.000654,0.00012,0.000678,0.009358,0.0022389999999999997,1.0,1.0
10579,0.002087,0.0024660000000000003,0.004444,0.006314999999999999,0.00159,0.964,0.903
10580,0.002873,0.000986,0.0032819999999999998,0.006737999999999999,0.005197,0.985,0.964
10583,0.003182,0.000935,0.004952,0.007876,0.004752,0.98,0.972
10588,0.0056879999999999995,0.0065249999999999996,0.005026,0.007679,0.0034760000000000004,0.943,0.8360000000000001
10589,0.0034289999999999998,0.00387,0.007281999999999999,0.0041860000000000005,0.0020169999999999997,0.97,0.929
10590,0.0020469999999999998,0.0012330000000000002,0.0032479999999999996,0.005627999999999999,0.003333,0.969,0.968
10591,0.008549,0.007231,0.006855,0.008614,0.008729,0.966,0.957
10594,0.002735,0.002546,0.0029170000000000003,0.006118,0.0031509999999999997,0.984,0.973
10595,0.008343,0.006864,0.008376,0.007763,0.007801,0.974,0.907
10596,0.0038929999999999998,0.006697,0.001219,0.007994,0.002855,0.972,0.659
10597,0.000499,0.00035000000000000005,0.002296,0.007183,0.0,1.0,1.0
10598,0.003916,0.002494,0.0035099999999999997,0.006907,0.004792,0.983,0.953
10601,0.009127999999999999,0.008349,0.007977,0.008918,0.0091,0.9390000000000001,0.944
10603,0.008372000000000001,0.007281999999999999,0.0054930000000000005,0.009166,0.008484,0.9359999999999999,0.955
10604,0.007764,0.007098999999999999,0.008023,0.008248,0.006006,0.9339999999999999,0.9279999999999999
10605,0.007122000000000001,0.0048389999999999996,0.006939999999999999,0.008118,0.007208,0.964,0.945
10606,0.008727,0.008314,0.005151,0.009205999999999999,0.008575000000000001,0.897,0.955
10607,0.005750999999999999,0.005366999999999999,0.0037259999999999997,0.009296,0.004832,0.9390000000000001,0.946
10701,0.009725000000000001,0.009781999999999999,0.009481,0.009431,0.008746,0.919,0.856
10703,0.009232,0.008056,0.008553,0.009093,0.009749,0.963,0.887
10704,0.00887,0.008165,0.007538,0.008558,0.008467,0.948,0.897
10705,0.009616,0.009564,0.009601,0.009544,0.008074,0.92,0.8260000000000001
10706,0.003911,0.000722,0.006,0.006541,0.006427,0.985,0.923
10707,0.005986,0.002838,0.0042959999999999995,0.007955,0.007915,0.968,0.922
10708,0.005894,0.0030280000000000003,0.004103,0.007414,0.007909000000000001,0.967,0.962
10709,0.004295,0.002236,0.006348,0.0063939999999999995,0.0045579999999999996,0.987,0.919
10710,0.007236,0.004226,0.006678,0.009031,0.00788,0.96,0.903
10801,0.009593,0.009421,0.007704,0.009278999999999999,0.009909,0.906,0.875
10803,0.003612,0.00113,0.005704,0.0073750000000000005,0.004912000000000001,0.991,0.944
10804,0.002546,0.0006419999999999999,0.005823,0.007161,0.003544,0.995,0.949
10805,0.009455,0.009243,0.008239,0.009031,0.009664,0.908,0.844
10901,0.00781,0.0065769999999999995,0.008296,0.007300999999999999,0.006883,0.971,0.909
10910,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10911,0.0007679999999999999,0.0008309999999999999,0.0,0.008682,0.0037259999999999997,1.0,0.0
10913,0.002339,0.003498,0.001476,0.006451,0.002627,0.971,0.946
10914,0.00046399999999999995,0.00043599999999999997,0.00208,0.006208,0.0,1.0,1.0
10915,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10916,0.0037159999999999997,0.00262,0.008638,0.0070079999999999995,0.001943,0.94,0.982
10917,0.0025340000000000002,0.0025629999999999997,0.004262,0.008872999999999999,0.001692,0.955,1.0
10918,0.004364,0.0040479999999999995,0.002764,0.007442,0.0047810000000000005,0.968,0.911
10919,0.0025,0.004484,0.0010140000000000001,0.009256,0.002177,0.868,0.937
10920,0.002993,0.00211,0.003362,0.007977,0.0032879999999999997,0.98,0.948
10921,0.0040539999999999994,0.002821,0.0048259999999999996,0.00733,0.003897,0.94,0.948
10922,0.000264,0.0007000000000000001,0.000262,0.006889999999999999,0.0,1.0,0.875
