zip_code,population_density,population_density_norm,bird_density,bird_density_norm,water_proximity,water_proximity_norm,healthcare_capacity,healthcare_capacity_norm,vulnerability_index,vulnerability_index_norm,risk_score,risk_category
10001,10915.814673934101,0.2870318522050003,2345.0,0.771127918447879,0.9810922109986144,0.9810922109986144,0.969,0.028084252758274864,0.007414,0.7414,0.6058077832784153,High
10002,20671.247021760726,0.543551397424439,2345.0,0.771127918447879,1.0,1.0,0.946,0.051153460381143434,0.009656,0.9655999999999999,0.6862907586957696,High
10003,21855.379961287894,0.5746882278894198,2345.0,0.771127918447879,0.8825751253722762,0.8825751253722762,0.976,0.02106318956870612,0.005373,0.5373,0.6520372080366125,High
10026,23652.631226935897,0.6219470331244125,2345.0,0.771127918447879,0.9735401202471656,0.9735401202471656,0.942,0.055165496489468446,0.009123,0.9122999999999999,0.6996568892686703,High
10004,6443.646205790581,0.1694359752935614,0.0,0.0,1.0,1.0,0.997,0.0,0.002299,0.22989999999999997,0.20385399382339034,Low
10005,31592.144935885757,0.8307169136655914,2345.0,0.771127918447879,0.9923211537814421,0.9923211537814421,0.988,0.009027081243731194,0.002437,0.2437,0.7166226729095329,High
10006,9758.812456013204,0.25660842532068884,0.0,0.0,0.8877790660993397,0.8877790660993397,0.94,0.0571715145436309,0.003555,0.3555,0.22081111769943623,Low
10007,10278.514129862988,0.2702740048944561,0.0,0.0,0.9261946049891913,0.9261946049891913,0.996,0.0010030090270812808,0.003366,0.3366,0.22342799287470083,Low
10009,22534.35951513324,0.5925420266915312,2345.0,0.771127918447879,1.0,1.0,0.972,0.025075225677031132,0.008721,0.8721,0.6912555925421315,High
10010,19944.84309248293,0.5244505724747928,2345.0,0.771127918447879,1.0,1.0,0.972,0.025075225677031132,0.005247,0.5246999999999999,0.6568627289879468,High
10011,18961.063039416076,0.49858203043473787,2345.0,0.771127918447879,1.0,1.0,0.979,0.01805416248746239,0.005998,0.5998,0.6534484871589762,High
10012,15874.714974123739,0.4174263651736214,2345.0,0.771127918447879,0.9249062318857548,0.9249062318857548,0.96,0.03711133400200606,0.006508,0.6507999999999999,0.6263512227780147,High
10013,12690.010499011618,0.3336844135628273,2345.0,0.771127918447879,1.0,1.0,0.959,0.03811434302908734,0.007873,0.7873,0.6236051009951611,High
10014,14299.244605292539,0.37599929888790035,2345.0,0.771127918447879,1.0,1.0,0.973,0.02407221664994985,0.003997,0.39969999999999994,0.6133996096885156,High
10016,25920.778576079047,0.6815880726753145,2345.0,0.771127918447879,1.0,1.0,0.959,0.03811434302908734,0.004822,0.48219999999999996,0.6953260157732829,High
10017,10591.322457020096,0.27849931433869324,2345.0,0.771127918447879,1.0,1.0,0.954,0.04312938816449352,0.006726,0.6726,0.6045753307026682,High
10018,7931.7733286224875,0.20856634688212533,2345.0,0.771127918447879,1.0,1.0,0.948,0.049147442326980983,0.007769,0.7768999999999999,0.592908894254775,High
10030,23795.774619668253,0.6257109952632153,0.0,0.0,0.8938123484556902,0.8938123484556902,0.919,0.07823470411233702,0.009828,0.9828,0.3474630714953911,Medium
10019,15627.180514534657,0.41091743509897666,2345.0,0.771127918447879,1.0,1.0,0.97,0.027081243731193583,0.007792,0.7792,0.6414050464494091,High
10021,26519.323573150315,0.6973268410832876,2345.0,0.771127918447879,1.0,1.0,0.988,0.009027081243731194,0.005195,0.5195,0.6982169816967405,High
10022,18384.134196396797,0.4834116597982941,2345.0,0.771127918447879,1.0,1.0,0.99,0.007021063189568744,0.004438,0.44380000000000003,0.6407525845700759,High
10023,31939.66121853009,0.8398548704061899,2345.0,0.771127918447879,0.94354067377546,0.94354067377546,0.968,0.029087261785356144,0.006325,0.6325,0.7330361081479477,High
10024,16158.612128436942,0.4248914539894687,2345.0,0.771127918447879,1.0,1.0,0.979,0.01805416248746239,0.005952,0.5952,0.6347958430476589,High
10025,28073.01374256387,0.7381811960169948,2345.0,0.771127918447879,0.9719202912272417,0.9719202912272417,0.959,0.03811434302908734,0.008607,0.8607,0.7241873402927893,High
10027,16232.023478305124,0.42682180883287313,2345.0,0.771127918447879,1.0,1.0,0.947,0.050150451354062264,0.009312,0.9312,0.6552880606451701,High
10028,33875.88634984409,0.8907679998727449,2345.0,0.771127918447879,1.0,1.0,0.98,0.017051153460381108,0.004209,0.4209,0.7424496786157698,High
10029,21311.443441724772,0.5603853919256543,2345.0,0.771127918447879,1.0,1.0,0.933,0.06419257773319953,0.009788,0.9788,0.692463169056279,High
10031,19206.32416390452,0.5050311830576659,2345.0,0.771127918447879,1.0,1.0,0.914,0.0832497492477432,0.009323,0.9322999999999999,0.6782053339907363,High
10032,18660.738566308835,0.49068498451068915,2345.0,0.771127918447879,1.0,1.0,0.909,0.08826479438314938,0.009771,0.9771,0.6773602888675327,High
10033,18569.699440869063,0.4882911064925418,2345.0,0.771127918447879,1.0,1.0,0.911,0.08625877632898693,0.00965,0.9650000000000001,0.6759562175575797,High
10034,7518.142176323417,0.19768989658312974,2345.0,0.771127918447879,1.0,1.0,0.93,0.06720160481444326,0.009541,0.9541,0.6008551979287723,High
10037,16882.453365704656,0.4439248928340686,2345.0,0.771127918447879,1.0,1.0,0.947,0.050150451354062264,0.009639,0.9639,0.6611988316454689,High
10035,5593.776121941881,0.1470886020935367,2345.0,0.771127918447879,1.0,1.0,0.926,0.07121364092276827,0.009914,0.9914,0.5904710779172065,High
10036,16583.43904943642,0.436062297544756,2345.0,0.771127918447879,0.981468124927224,0.981468124927224,0.972,0.025075225677031132,0.00801,0.8009999999999999,0.6458008789945212,High
10038,20325.332051519075,0.5344555472676029,2345.0,0.771127918447879,1.0,1.0,0.969,0.028084252758274864,0.008641,0.8640999999999999,0.6766348753942737,High
10040,23432.14842446025,0.6161494276259376,0.0,0.0,0.9348593241607296,0.9348593241607296,0.926,0.07121364092276827,0.009857,0.9856999999999999,0.35067261962287066,Medium
